40.7538891827017, -73.975818157196;240,""
40.7534584336049, -73.9774489402771;241,""
40.7539907740632, -73.977062702179;242,""
40.7543199290079, -73.9768534898758;243,""
40.75398264676, -73.9799863100052;244,""
40.753824164149, -73.979600071907;245,""
40.7536494264733, -73.9791762828827;246,""
40.7534787520212, -73.9787471294403;247,""
40.7533405866677, -73.9784091711044;248,""
40.753202421027, -73.9780604839325;249,""
40.7531292743951, -73.9778459072113;250,""
40.7534218604398, -73.9776366949081;251,""
40.7537266362006, -73.977432847023;252,""
40.7540883016241, -73.9771646261215;253,""
40.7543483744204, -73.9769822359085;254,""
40.7541004925591, -73.978328704834;255,""
40.7538363551325, -73.9785218238831;256,""
40.7546409551003, -73.979594707489;257,""
40.7545190466401, -73.9793372154236;258,""
40.7543930743298, -73.9789992570877;259,""
40.7542549108763, -73.978688120842;260,""
40.7539095009864, -73.9778620004654;261,""
40.7544540287033, -73.9780980348587;262,""
40.7547466089182, -73.9779049158096;263,""
40.7548969621389, -73.9783018827438;264,""
40.7550635693647, -73.9787042140961;265,""
40.7552504940479, -73.9791494607925;266,""
40.7545962553575, -73.9775401353836;267,""
40.7544702831935, -73.9772289991379;268,""
40.7541777017626, -73.9765423536301;269,""
40.7540029650161, -73.9761346578598;270,""
40.7537835275212, -73.9756143093109;271,""
40.7536047260639, -73.9751851558685;272,""
40.7533527777398, -73.9746379852295;273,""
40.753117083282, -73.9748418331146;274,""
40.7527513488484, -73.9750993251801;275,""
40.7524425048711, -73.9753460884094;276,""
40.7522555722932, -73.9755070209503;277,""
40.7521092768656, -73.9755713939667;278,Chrysler Building
40.7518979606797, -73.9757591485977;279,""
40.7516338145029, -73.9759522676468;280,""
40.7514387520372, -73.9760702848434;281,Chrysler Building
40.7513249653346, -73.9757806062698;282,""
40.7511746040361, -73.9753782749176;283,""
40.7509389018569, -73.974906206131;284,""
40.7507763481431, -73.9744985103607;285,""
40.7517028989889, -73.9767408370972;286,""
40.7510689445418, -73.976343870163;287,""
40.7507600927498, -73.9765477180481;288,""
40.7512396251799, -73.9776313304901;289,""
40.7510608168815, -73.9772129058838;290,""
40.7506056663158, -73.9760863780975;291,""
40.7504918781876, -73.9757966995239;292,""
40.7502886846172, -73.9753568172455;293,""
40.750101745984, -73.9749276638031;294,""
40.7504674949919, -73.9746809005737;295,""
40.7511867955054, -73.9784520864487;296,""
40.7511542849156, -73.9782857894897;297,""
40.7504715588585, -73.9787739515305;298,""
40.7505284529643, -73.9789777994156;299,""
40.7502602374678, -73.9791816473007;300,""
40.7501586404062, -73.9789509773254;301,""
40.7503699621199, -73.9794284105301;302,""
40.7500529792976, -73.9786559343338;303,""
40.749979829201, -73.9791011810303;304,""
40.7498254009549, -73.9792191982269;305,""
40.7500773626453, -73.9793103933334;306,""
40.7499066790238, -73.9794230461121;307,""
40.7495734383097, -73.979412317276;308,""
40.7496912919239, -73.9796054363251;309,""
40.7497928896995, -73.9799165725708;310,""
40.7494433927, -73.9791494607925;311,""
40.7492361319838, -73.9796215295792;312,""
40.7493946255308, -73.979777097702;313,""
40.7490410624843, -73.9800667762756;314,""
40.7489232077178, -73.9798146486282;315,""
40.7491792367722, -73.9804422855377;316,""
40.7488134806784, -73.9795678853989;317,""
40.7485371302954, -73.9804154634476;318,""
40.7485330663106, -73.9801418781281;319,""
40.7484030186663, -73.9805227518082;320,""
40.748565578182, -73.980860710144;321,""
40.7483379947487, -73.9802974462509;322,""
40.7481794986833, -73.9799755811691;323,""
40.7481347945966, -73.9807051420212;324,""
40.7480494503475, -73.980501294136;325,""
40.7477771608207, -73.9809787273407;326,""
40.7476918161126, -73.9807373285294;327,""
40.7478868895701, -73.9812362194061;328,""
40.7475820870414, -73.9804583787918;329,""
40.7473951407992, -73.9812630414963;330,""
40.7473463721279, -73.9810162782669;331,""
40.7471269126643, -73.9814668893814;332,""
40.7470090545053, -73.981220126152;333,""
40.7472813471771, -73.9818263053894;334,""
40.746887132052, -73.9809089899063;335,""
40.7508982634657, -73.980667591095;336,""
40.7512233698999, -73.9804208278656;337,""
40.7506300494608, -73.9800131320953;338,""
40.7511827316826, -73.9813542366028;339,""
40.7513615396531, -73.9817941188812;340,""
40.751564729945, -73.9822661876678;341,""
40.7517191541517, -73.982652425766;342,""
40.7565630156084, -73.9902806282043;343,New York Times
40.7559291075018, -73.9907097816467;344,New York Times
40.7559778698785, -73.9888644218445;345,""
40.7553358290546, -73.9892721176147;346,""
40.7553764647335, -73.9874160289764;347,""
40.7547344181016, -73.987877368927;348,""
40.7550269970826, -73.9866864681244;349,""
40.7546125098129, -73.9856350421906;350,""
40.7543605653078, -73.9869225025177;351,""
40.7538810553861, -73.9858281612396;352,""
40.7536047260639, -73.9871370792389;353,""
40.7541248744225, -73.9883279800415;354,""
40.754685654813, -73.9897227287292;355,""
40.755319574776, -73.9911603927612;356,""
40.7558884721606, -73.9925336837769;357,""
40.7567255551749, -73.9925765991211;358,Double Tree by Hilton
40.7562460623107, -73.9914286136627;359,Element New York
40.7571156485132, -73.9935636520386;360,""
40.7565223806547, -73.994003534317;361,""
40.7578389405209, -73.9930593967438;362,""
40.7572050445808, -73.9917719364166;363,""
40.7577901795093, -73.9911925792694;364,""
40.7584240698699, -73.9926409721375;365,""
40.7584565769049, -73.9906239509583;366,""
40.7590904609109, -73.9921367168427;367,""
40.7597243388723, -73.9916753768921;368,""
40.7591148409443, -73.990226984024;369,""
40.7597568452715, -73.9898943901062;370,""
40.7603257046841, -73.9911818504334;371,""
40.7609270650553, -73.990752696991;372,""
40.7603907168784, -73.9894437789917;373,""
40.7609433179627, -73.9887356758118;374,""
40.7615771782553, -73.9903020858765;375,""
40.7615446727463, -73.9882636070251;376,""
40.7621947799057, -73.989851474762;377,""
40.7621297694759, -73.9877271652222;378,World Wide Plaza Residence
40.7627636184541, -73.9872336387634;379,World Wide Plaza Residence
40.7628123758174, -73.9893794059753;380,""
40.7634624705775, -73.9889287948608;381,""
40.7635437319754, -73.9871692657471;382,""
40.7641288111074, -73.9885210990906;383,""
40.7641775674693, -73.9867830276489;384,""
40.7646976331034, -73.9880919456482;385,""
40.7646651291205, -73.9859890937805;386,""
40.7653152057583, -73.9875769615173;387,""
40.7652989539198, -73.9855170249939;388,""
40.7659815277128, -73.9871692657471;389,""
40.7659490243578, -73.9851522445679;390,""
40.7665828369126, -73.9866328239441;391,""
40.7672003920491, -73.9861822128296;392,""
40.7666315914741, -73.9848947525024;393,""
40.7678829463127, -73.9857316017151;394,""
40.7672653975191, -73.9841437339783;395,""
40.7674157224249, -73.9823681116104;396,""
40.7671678892902, -73.981751203537;397,""
40.7677001199652, -73.982115983963;398,""
40.7676919943381, -73.9817404747009;399,""
40.7680332698216, -73.9814186096191;400,""
40.7683745435524, -73.9816170930862;401,""
40.7683989201804, -73.9818048477173;402,""
40.7683420413679, -73.9822340011597;403,""
40.7680292070285, -73.9823895692825;404,""
40.7678666951022, -73.9823091030121;405,""
40.7682323463776, -73.9823144674301;406,""
40.7682364091582, -73.9814722537994;407,""
40.7678707579052, -73.9815258979797;408,""
40.7676960571518, -73.981928229332;409,""
40.7675294815871, -73.9816975593567;410,""
40.7674157224249, -73.9816868305206;411,""
40.7678991975193, -73.9812791347504;412,""
40.7677488737071, -73.9811182022095;413,""
40.7677407480859, -73.9814239740372;414,""
40.7683989201804, -73.9820086956024;415,Columbus Circle
40.7687036272759, -73.9819818735123;416,Columbus Circle
40.768687376266, -73.9822018146515;417,Columbus Circle
40.7686101839151, -73.9815258979797;418,Columbus Circle
40.7675985495549, -73.9822286367416;419,Columbus Circle
40.7678016902204, -73.9812576770782;420,Columbus Circle
40.7679398255182, -73.9836609363556;421,Time Warner Center
40.7692317829314, -73.9829957485199;422,Time Warner Center
40.7686142466727, -73.9851951599121;423,""
40.7692155320508, -73.9847660064697;424,""
40.7698330627217, -73.9843368530273;425,""
40.7697518090139, -73.9821481704712;426,""
40.7692805355496, -73.9810538291931;427,""
40.7699143163301, -73.9805388450623;428,""
40.770483088807, -73.9800667762756;429,""
40.7710843572744, -73.9796161651611;430,""
40.7718156224022, -73.9792513847351;431,""
40.7723843786042, -73.9787149429321;432,""
40.7717343711188, -73.9777278900146;433,""
